"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Overlord";"Larva";13
"Building";"Hatchery";NA;17
"Building";"Extractor";NA;19
"Building";"SpawningPool";NA;19
"Unit";"Overlord";"Larva";22
"Unit";"Queen";"Hatchery";23
"Unit";"Zergling";"Larva";25
"Unit";"Zergling";"Larva";26
"Unit";"Queen";"Hatchery";27
"Unit";"Zergling";"Larva";29
"Unit";"Zergling";"Larva";30
"Building";"Hatchery";NA;35
"Unit";"Queen";"Hatchery";35
"Unit";"Zergling";"Larva";38
"Unit";"Zergling";"Larva";39
"Unit";"Zergling";"Larva";40
"Unit";"Zergling";"Larva";41
"Unit";"Zergling";"Larva";42
"Unit";"Zergling";"Larva";43
"Unit";"Overlord";"Larva";44
"Unit";"Zergling";"Larva";44
"Unit";"Zergling";"Larva";45
"Unit";"Overlord";"Larva";46
"Building";"CreepTumorQueen";NA;46
"Unit";"Zergling";"Larva";46
"Unit";"Zergling";"Larva";47
"Unit";"Zergling";"Larva";48
"Unit";"Zergling";"Larva";49
"Unit";"Zergling";"Larva";50
"Unit";"Zergling";"Larva";51
"Unit";"Zergling";"Larva";52
"Unit";"Zergling";"Larva";53
"Unit";"Zergling";"Larva";54
"Unit";"Zergling";"Larva";55
"Unit";"Zergling";"Larva";56
"Unit";"Zergling";"Larva";57
"Unit";"Overlord";"Larva";58
"Unit";"Queen";"Hatchery";64
"Building";"CreepTumorQueen";NA;66
"Unit";"Queen";"Hatchery";66
"Unit";"Zergling";"Larva";73
"Unit";"Zergling";"Larva";74
"Unit";"Zergling";"Larva";75
"Unit";"Zergling";"Larva";76
"Unit";"Zergling";"Larva";77
"Unit";"Zergling";"Larva";78
"Building";"CreepTumor";NA;85
"Building";"CreepTumorQueen";NA;86
"Building";"CreepTumorQueen";NA;89
"Unit";"Queen";"Hatchery";89
"Building";"CreepTumorQueen";NA;91
"Unit";"Overlord";"Larva";91
"Building";"EvolutionChamber";NA;91
"Building";"EvolutionChamber";NA;91
"Unit";"Zergling";"Larva";93
"Unit";"Zergling";"Larva";94
"Unit";"Zergling";"Larva";95
"Unit";"Zergling";"Larva";96
"Unit";"Overlord";"Larva";97
"Unit";"Zergling";"Larva";103
"Unit";"Zergling";"Larva";104
"Unit";"Queen";"Hatchery";111
"Building";"CreepTumor";NA;115
"Building";"CreepTumor";NA;115
"Building";"CreepTumor";NA;116
"Unit";"Overlord";"Larva";118
"Building";"Extractor";NA;118
"Building";"Extractor";NA;118
"Building";"Extractor";NA;118
"Building";"Extractor";NA;118
"Building";"Extractor";NA;118
"Building";"CreepTumorQueen";NA;118
"Unit";"Queen";"Hatchery";118
"Unit";"Zergling";"Larva";120
"Unit";"Zergling";"Larva";121
"Unit";"Zergling";"Larva";122
"Unit";"Zergling";"Larva";123
"Unit";"Zergling";"Larva";124
"Unit";"Zergling";"Larva";125
"Unit";"Zergling";"Larva";126
"Unit";"Zergling";"Larva";127
"Unit";"Zergling";"Larva";128
"Unit";"Zergling";"Larva";129
"Unit";"Overlord";"Larva";130
"Unit";"Overlord";"Larva";130
"Building";"CreepTumor";NA;131
"Building";"CreepTumor";NA;131
"Building";"CreepTumor";NA;131
"Building";"CreepTumor";NA;131
"Building";"CreepTumorQueen";NA;131
"Building";"Hatchery";NA;131
"Building";"CreepTumorQueen";NA;131
"Building";"CreepTumorQueen";NA;131
"Building";"CreepTumorQueen";NA;131
"Building";"CreepTumorQueen";NA;131
"Building";"BanelingNest";NA;131
"Unit";"Zergling";"Larva";140
"Unit";"Zergling";"Larva";141
"Unit";"Zergling";"Larva";142
"Unit";"Zergling";"Larva";143
"Unit";"Zergling";"Larva";144
"Unit";"Zergling";"Larva";145
"Unit";"Zergling";"Larva";146
"Unit";"Zergling";"Larva";147
"Unit";"Zergling";"Larva";148
"Unit";"Zergling";"Larva";149
"Unit";"Zergling";"Larva";150
"Unit";"Zergling";"Larva";151
"Building";"CreepTumor";NA;152
"Building";"CreepTumor";NA;152
"Building";"CreepTumor";NA;152
"Unit";"Queen";"Hatchery";152
"Unit";"Overlord";"Larva";154
"Building";"CreepTumorQueen";NA;155
"Unit";"Overlord";"Larva";155
"Building";"CreepTumorQueen";NA;155
"Building";"CreepTumorQueen";NA;155
"Building";"CreepTumor";NA;155
"Building";"CreepTumor";NA;155
"Building";"CreepTumor";NA;155
"Building";"CreepTumor";NA;155
"Building";"CreepTumor";NA;155
"Building";"CreepTumorQueen";NA;155
"Unit";"Zergling";"Larva";155
"Unit";"Zergling";"Larva";156
"Unit";"Zergling";"Larva";157
"Unit";"Zergling";"Larva";158
"Unit";"Zergling";"Larva";159
"Unit";"Zergling";"Larva";160
"Unit";"Zergling";"Larva";161
"Unit";"Zergling";"Larva";162
"Unit";"Zergling";"Larva";163
"Unit";"Zergling";"Larva";164
"Building";"CreepTumorQueen";NA;165
"Unit";"Overlord";"Larva";165
"Unit";"Overlord";"Larva";165
"Unit";"Overlord";"Larva";165
"Building";"CreepTumor";NA;165
"Building";"CreepTumor";NA;165
"Building";"CreepTumor";NA;165
"Building";"CreepTumor";NA;165
"Unit";"Overlord";"Larva";165
"Unit";"Overlord";"Larva";165
"Unit";"Overlord";"Larva";165
"Unit";"Baneling";"Zergling";169
"Unit";"Baneling";"Zergling";169
"Unit";"Baneling";"Zergling";169
"Unit";"Baneling";"Zergling";169
"Unit";"Baneling";"Zergling";169
"Unit";"Baneling";"Zergling";169
"Unit";"Baneling";"Zergling";169
"Unit";"Baneling";"Zergling";169
"Unit";"Baneling";"Zergling";169
"Building";"CreepTumor";NA;169
"Building";"CreepTumor";NA;169
"Building";"CreepTumor";NA;169
"Building";"CreepTumor";NA;169
"Building";"CreepTumor";NA;169
"Building";"CreepTumor";NA;169
"Building";"CreepTumor";NA;169
"Building";"CreepTumor";NA;169
"Building";"CreepTumor";NA;169
"Unit";"Zergling";"Larva";169
"Unit";"Zergling";"Larva";170
"Unit";"Zergling";"Larva";171
"Unit";"Zergling";"Larva";172
"Unit";"Zergling";"Larva";173
"Unit";"Zergling";"Larva";174
"Unit";"Zergling";"Larva";175
"Unit";"Zergling";"Larva";176
"Unit";"Zergling";"Larva";177
"Unit";"Zergling";"Larva";178
"Unit";"Zergling";"Larva";179
"Unit";"Zergling";"Larva";180
"Building";"CreepTumor";NA;181
"Building";"CreepTumor";NA;181
"Building";"CreepTumor";NA;181
"Building";"CreepTumor";NA;181
"Unit";"Zergling";"Larva";181
"Unit";"Zergling";"Larva";182
"Unit";"Zergling";"Larva";183
"Unit";"Zergling";"Larva";184
"Unit";"Zergling";"Larva";185
"Unit";"Zergling";"Larva";186
"Unit";"Zergling";"Larva";187
"Unit";"Zergling";"Larva";188
"Unit";"Zergling";"Larva";189
"Unit";"Zergling";"Larva";190
"Unit";"Zergling";"Larva";191
"Unit";"Zergling";"Larva";192
"Unit";"Zergling";"Larva";193
"Unit";"Zergling";"Larva";194
"Building";"CreepTumor";NA;195
"Building";"CreepTumor";NA;195
"Building";"CreepTumorQueen";NA;195
"Unit";"Overlord";"Larva";195
"Building";"CreepTumorQueen";NA;195
"Building";"CreepTumorQueen";NA;195
"Building";"CreepTumorQueen";NA;195
"Building";"CreepTumorQueen";NA;195
"Building";"CreepTumorQueen";NA;195
"Building";"CreepTumor";NA;195
"Unit";"Zergling";"Larva";195
"Unit";"Zergling";"Larva";196
"Unit";"Zergling";"Larva";197
"Unit";"Zergling";"Larva";198
"Unit";"Zergling";"Larva";199
"Unit";"Zergling";"Larva";200
"Unit";"Zergling";"Larva";201
"Unit";"Zergling";"Larva";202
"Unit";"Zergling";"Larva";203
"Unit";"Zergling";"Larva";204
"Unit";"Zergling";"Larva";205
"Unit";"Zergling";"Larva";206
"Unit";"Zergling";"Larva";207
"Unit";"Zergling";"Larva";208
"Unit";"Zergling";"Larva";209
"Unit";"Zergling";"Larva";210
"Unit";"Zergling";"Larva";211
"Unit";"Zergling";"Larva";212
"Unit";"Zergling";"Larva";213
"Unit";"Zergling";"Larva";214
"Unit";"Zergling";"Larva";215
"Unit";"Zergling";"Larva";216
"Unit";"Zergling";"Larva";217
"Unit";"Zergling";"Larva";218
"Building";"HydraliskDen";NA;219
"Building";"CreepTumor";NA;219
"Building";"CreepTumor";NA;219
"Unit";"Baneling";"Zergling";219
"Unit";"Baneling";"Zergling";219
"Unit";"Baneling";"Zergling";219
"Unit";"Baneling";"Zergling";219
"Unit";"Baneling";"Zergling";219
"Unit";"Baneling";"Zergling";219
"Unit";"Baneling";"Zergling";219
"Unit";"Baneling";"Zergling";219
"Unit";"Baneling";"Zergling";219
"Unit";"Baneling";"Zergling";219
"Unit";"Baneling";"Zergling";219
"Building";"CreepTumor";NA;219
"Building";"CreepTumor";NA;219
"Building";"CreepTumor";NA;219
"Building";"CreepTumor";NA;219
"Building";"CreepTumor";NA;219
"Unit";"Overlord";"Larva";219
"Building";"InfestationPit";NA;219
"Building";"CreepTumorQueen";NA;219
"Building";"CreepTumorQueen";NA;219
"Building";"CreepTumorQueen";NA;219
"Unit";"Hydralisk";"Larva";219
"Unit";"Hydralisk";"Larva";221
"Unit";"Hydralisk";"Larva";223
"Unit";"Hydralisk";"Larva";225
"Unit";"Hydralisk";"Larva";227
"Unit";"Hydralisk";"Larva";229
"Unit";"Hydralisk";"Larva";231
"Unit";"Hydralisk";"Larva";233
"Unit";"Hydralisk";"Larva";235
"Unit";"Hydralisk";"Larva";237
"Unit";"Hydralisk";"Larva";239
"Unit";"Hydralisk";"Larva";241
"Building";"CreepTumor";NA;243
"Building";"CreepTumorQueen";NA;243
"Unit";"Hydralisk";"Larva";243
"Unit";"Hydralisk";"Larva";245
"Unit";"Hydralisk";"Larva";247
"Building";"CreepTumorQueen";NA;249
"Unit";"Hydralisk";"Larva";249
"Unit";"Hydralisk";"Larva";251
"Unit";"Hydralisk";"Larva";253
"Unit";"Hydralisk";"Larva";255
"Building";"CreepTumor";NA;257
"Building";"CreepTumor";NA;257
"Building";"CreepTumor";NA;257
"Building";"CreepTumor";NA;257
"Building";"CreepTumor";NA;257
"Building";"CreepTumor";NA;257
"Unit";"Overlord";"Larva";260
"Unit";"Overlord";"Larva";260
"Unit";"Hydralisk";"Larva";260
"Unit";"Hydralisk";"Larva";262
"Unit";"Hydralisk";"Larva";264
"Unit";"Hydralisk";"Larva";266
"Unit";"Hydralisk";"Larva";268
"Unit";"Zergling";"Larva";270
"Unit";"Zergling";"Larva";271
"Unit";"Zergling";"Larva";272
"Unit";"Zergling";"Larva";273
"Unit";"Zergling";"Larva";274
"Unit";"Zergling";"Larva";275
"Building";"CreepTumorQueen";NA;276
"Building";"CreepTumorQueen";NA;276
"Unit";"Hydralisk";"Larva";276
"Building";"CreepTumorQueen";NA;278
"Unit";"Hydralisk";"Larva";278
"Unit";"Hydralisk";"Larva";280
"Unit";"Hydralisk";"Larva";282
"Building";"CreepTumor";NA;284
"Building";"CreepTumor";NA;284
"Unit";"Overlord";"Larva";284
"Building";"Extractor";NA;288
"Building";"Extractor";NA;288
"Unit";"Hydralisk";"Larva";288
"Unit";"Hydralisk";"Larva";290
"Unit";"Hydralisk";"Larva";292
"Building";"CreepTumor";NA;294
"Building";"CreepTumor";NA;294
"Building";"Hatchery";NA;294
"Unit";"Zergling";"Larva";294
"Unit";"Zergling";"Larva";295
"Unit";"Zergling";"Larva";296
"Unit";"Zergling";"Larva";297
"Unit";"Zergling";"Larva";298
"Unit";"Zergling";"Larva";299
"Unit";"Zergling";"Larva";300
"Unit";"Zergling";"Larva";301
"Unit";"Zergling";"Larva";302
"Unit";"Zergling";"Larva";303
"Unit";"Zergling";"Larva";304
"Unit";"Zergling";"Larva";305
"Unit";"Zergling";"Larva";306
"Unit";"Zergling";"Larva";307
"Unit";"Overlord";"Larva";308
"Building";"CreepTumor";NA;308
"Building";"CreepTumor";NA;308
"Building";"CreepTumor";NA;308
"Building";"CreepTumor";NA;308
"Building";"CreepTumor";NA;308
"Building";"CreepTumorQueen";NA;308
"Building";"CreepTumor";NA;308
"Building";"CreepTumorQueen";NA;308
"Building";"CreepTumorQueen";NA;308
"Unit";"Overlord";"Larva";308
"Unit";"Overlord";"Larva";308
"Building";"SpineCrawler";NA;308
"Building";"CreepTumorQueen";NA;308
"Building";"CreepTumor";NA;308
"Building";"CreepTumorQueen";NA;308
"Building";"CreepTumor";NA;308
"Building";"CreepTumor";NA;308
"Building";"CreepTumorQueen";NA;308
"Unit";"Zergling";"Larva";308
"Unit";"Zergling";"Larva";309
"Unit";"Zergling";"Larva";310
"Unit";"Zergling";"Larva";311
"Unit";"Zergling";"Larva";312
"Unit";"Zergling";"Larva";313
"Unit";"Overlord";"Larva";314
"Building";"CreepTumorQueen";NA;314
"Building";"CreepTumorQueen";NA;314
"Building";"CreepTumor";NA;314
"Building";"CreepTumor";NA;314
"Building";"UltraliskCavern";NA;314
"Building";"CreepTumor";NA;314
"Building";"CreepTumor";NA;314
"Building";"CreepTumor";NA;314
"Building";"CreepTumor";NA;314
"Building";"CreepTumor";NA;314
"Building";"CreepTumor";NA;314
"Unit";"Baneling";"Zergling";314
"Unit";"Baneling";"Zergling";314
"Unit";"Baneling";"Zergling";314
"Unit";"Baneling";"Zergling";314
"Unit";"Baneling";"Zergling";314
"Unit";"Baneling";"Zergling";314
"Unit";"Baneling";"Zergling";314
"Unit";"Baneling";"Zergling";314
"Unit";"Baneling";"Zergling";314
"Unit";"Baneling";"Zergling";314
"Unit";"Baneling";"Zergling";314
"Unit";"Baneling";"Zergling";314
"Unit";"Baneling";"Zergling";314
"Unit";"Baneling";"Zergling";314
"Unit";"Baneling";"Zergling";314
"Unit";"Baneling";"Zergling";314
"Unit";"Zergling";"Larva";314
"Unit";"Zergling";"Larva";315
"Unit";"Zergling";"Larva";316
"Unit";"Zergling";"Larva";317
"Unit";"Zergling";"Larva";318
"Unit";"Zergling";"Larva";319
"Unit";"Zergling";"Larva";320
"Unit";"Zergling";"Larva";321
"Unit";"Zergling";"Larva";322
"Unit";"Zergling";"Larva";323
"Unit";"Zergling";"Larva";324
"Unit";"Zergling";"Larva";325
"Unit";"Zergling";"Larva";326
"Unit";"Zergling";"Larva";327
"Unit";"Zergling";"Larva";328
"Unit";"Zergling";"Larva";329
"Unit";"Zergling";"Larva";330
"Unit";"Zergling";"Larva";331
"Unit";"Zergling";"Larva";332
"Unit";"Zergling";"Larva";333
"Unit";"Zergling";"Larva";334
"Unit";"Zergling";"Larva";335
"Unit";"Zergling";"Larva";336
"Unit";"Zergling";"Larva";337
"Unit";"Zergling";"Larva";338
"Unit";"Zergling";"Larva";339
"Unit";"Zergling";"Larva";340
"Unit";"Zergling";"Larva";341
"Unit";"Zergling";"Larva";342
"Unit";"Zergling";"Larva";343
"Unit";"Zergling";"Larva";344
"Unit";"Zergling";"Larva";345
"Unit";"Zergling";"Larva";346
"Unit";"Zergling";"Larva";347
"Unit";"Zergling";"Larva";348
"Unit";"Zergling";"Larva";349
"Unit";"Zergling";"Larva";350
"Unit";"Zergling";"Larva";351
"Unit";"Zergling";"Larva";352
"Unit";"Zergling";"Larva";353
"Unit";"Zergling";"Larva";354
"Unit";"Zergling";"Larva";355
"Unit";"Zergling";"Larva";356
"Unit";"Zergling";"Larva";357
"Unit";"Zergling";"Larva";358
"Unit";"Zergling";"Larva";359
"Unit";"Zergling";"Larva";360
"Unit";"Zergling";"Larva";361
"Unit";"Zergling";"Larva";362
"Unit";"Zergling";"Larva";363
"Building";"CreepTumorQueen";NA;364
"Building";"CreepTumorQueen";NA;364
"Building";"CreepTumorQueen";NA;364
"Building";"CreepTumorQueen";NA;364
"Building";"CreepTumorQueen";NA;364
"Building";"CreepTumorQueen";NA;364
"Unit";"Zergling";"Larva";364
"Unit";"Zergling";"Larva";365
"Unit";"Zergling";"Larva";366
"Unit";"Zergling";"Larva";367
"Building";"CreepTumor";NA;368
"Building";"CreepTumor";NA;368
"Building";"CreepTumor";NA;368
"Unit";"Zergling";"Larva";368
"Unit";"Zergling";"Larva";369
"Unit";"Zergling";"Larva";370
"Unit";"Zergling";"Larva";371
"Unit";"Zergling";"Larva";372
"Unit";"Zergling";"Larva";373
"Unit";"Zergling";"Larva";374
"Unit";"Zergling";"Larva";375
"Building";"CreepTumor";NA;376
"Building";"CreepTumor";NA;376
"Building";"CreepTumor";NA;376
"Building";"CreepTumor";NA;376
"Building";"CreepTumor";NA;376
"Unit";"Ultralisk";"Larva";376
"Unit";"Ultralisk";"Larva";382
"Unit";"Ultralisk";"Larva";388
"Building";"CreepTumor";NA;395
"Building";"CreepTumor";NA;395
"Building";"CreepTumor";NA;395
"Building";"CreepTumor";NA;395
"Building";"CreepTumor";NA;395
"Building";"CreepTumor";NA;395
"Building";"CreepTumor";NA;395
"Upgrade";"ChitinousPlating";"UltraliskCavern";395
"Building";"CreepTumor";NA;395
"Building";"CreepTumor";NA;395
"Building";"CreepTumor";NA;395
"Building";"CreepTumor";NA;395
"Building";"CreepTumor";NA;395
"Building";"CreepTumor";NA;395
"Building";"SporeCrawler";NA;395
"Unit";"Ultralisk";"Larva";395
"Unit";"Ultralisk";"Larva";401
"Unit";"Ultralisk";"Larva";407
"Unit";"Zergling";"Larva";413
"Unit";"Zergling";"Larva";414
"Unit";"Zergling";"Larva";415
"Unit";"Zergling";"Larva";416
"Unit";"Zergling";"Larva";417
"Unit";"Zergling";"Larva";418
"Unit";"Zergling";"Larva";419
"Unit";"Zergling";"Larva";420
"Unit";"Zergling";"Larva";421
"Unit";"Zergling";"Larva";422
"Unit";"Zergling";"Larva";423
"Unit";"Zergling";"Larva";424
"Unit";"Zergling";"Larva";425
"Unit";"Zergling";"Larva";426
"Unit";"Zergling";"Larva";427
"Unit";"Zergling";"Larva";428
"Unit";"Zergling";"Larva";429
"Unit";"Zergling";"Larva";430
"Unit";"Zergling";"Larva";431
"Unit";"Zergling";"Larva";432
"Unit";"Zergling";"Larva";433
"Unit";"Zergling";"Larva";434
"Unit";"Zergling";"Larva";435
"Unit";"Zergling";"Larva";436
"Unit";"Zergling";"Larva";437
"Unit";"Zergling";"Larva";438
"Building";"CreepTumorQueen";NA;439
"Unit";"Viper";"Larva";439
"Unit";"Viper";"Larva";442
"Building";"Spire";NA;445
"Building";"CreepTumorQueen";NA;445
"Building";"CreepTumor";NA;445
"Building";"CreepTumorQueen";NA;445
"Building";"CreepTumor";NA;445
"Building";"CreepTumorQueen";NA;445
"Building";"CreepTumor";NA;445
"Building";"CreepTumorQueen";NA;445
"Building";"CreepTumor";NA;445
"Building";"CreepTumor";NA;445
"Building";"CreepTumorQueen";NA;445
"Building";"CreepTumor";NA;445
"Building";"CreepTumorQueen";NA;445
"Building";"CreepTumorQueen";NA;445
"Building";"CreepTumor";NA;445
"Building";"CreepTumorQueen";NA;445
"Building";"CreepTumorQueen";NA;445
"Unit";"Viper";"Larva";445
"Building";"Extractor";NA;449
"Building";"Extractor";NA;450
"Building";"CreepTumorQueen";NA;450
"Building";"CreepTumor";NA;450
"Building";"CreepTumor";NA;450
"Building";"CreepTumor";NA;450
"Building";"CreepTumor";NA;450
"Building";"CreepTumor";NA;450
"Building";"CreepTumor";NA;450
"Building";"CreepTumor";NA;450
"Building";"CreepTumor";NA;450
"Unit";"Viper";"Larva";450
"Unit";"Viper";"Larva";453
"Unit";"Zergling";"Larva";456
"Unit";"Zergling";"Larva";457
"Unit";"Zergling";"Larva";458
"Unit";"Zergling";"Larva";459
"Unit";"Zergling";"Larva";460
"Unit";"Zergling";"Larva";461
"Unit";"Zergling";"Larva";462
"Unit";"Zergling";"Larva";463
"Unit";"Zergling";"Larva";464
"Unit";"Zergling";"Larva";465
"Unit";"Zergling";"Larva";466
"Unit";"Zergling";"Larva";467
"Unit";"Zergling";"Larva";468
"Unit";"Zergling";"Larva";469
"Unit";"Zergling";"Larva";470
"Unit";"Zergling";"Larva";471
"Unit";"Zergling";"Larva";472
"Unit";"Zergling";"Larva";473
"Unit";"Zergling";"Larva";474
"Unit";"Zergling";"Larva";475
"Building";"CreepTumor";NA;476
"Building";"CreepTumor";NA;476
"Unit";"Zergling";"Larva";476
"Unit";"Zergling";"Larva";477
"Unit";"Zergling";"Larva";478
"Unit";"Zergling";"Larva";479
"Unit";"Zergling";"Larva";480
"Unit";"Zergling";"Larva";481
"Unit";"Zergling";"Larva";482
"Unit";"Zergling";"Larva";483
"Unit";"Zergling";"Larva";484
"Unit";"Zergling";"Larva";485
"Unit";"Zergling";"Larva";486
"Unit";"Zergling";"Larva";487
"Unit";"Zergling";"Larva";488
"Unit";"Zergling";"Larva";489
"Unit";"Zergling";"Larva";490
"Unit";"Zergling";"Larva";491
"Unit";"Zergling";"Larva";492
"Unit";"Zergling";"Larva";493
"Unit";"Zergling";"Larva";494
"Unit";"Zergling";"Larva";495
"Unit";"Zergling";"Larva";496
"Unit";"Zergling";"Larva";497
"Unit";"Zergling";"Larva";498
"Unit";"Zergling";"Larva";499
"Unit";"Zergling";"Larva";500
"Unit";"Zergling";"Larva";501
"Unit";"Zergling";"Larva";502
"Unit";"Zergling";"Larva";503
"Unit";"Zergling";"Larva";504
"Unit";"Zergling";"Larva";505
"Unit";"Zergling";"Larva";506
"Unit";"Zergling";"Larva";507
"Unit";"Zergling";"Larva";508
"Unit";"Zergling";"Larva";509
"Unit";"Zergling";"Larva";510
"Unit";"Zergling";"Larva";511
"Unit";"Zergling";"Larva";512
"Unit";"Zergling";"Larva";513
"Unit";"Zergling";"Larva";514
"Unit";"Zergling";"Larva";515
"Unit";"Zergling";"Larva";516
"Unit";"Zergling";"Larva";517
"Unit";"Zergling";"Larva";518
"Unit";"Zergling";"Larva";519
"Unit";"Zergling";"Larva";520
"Unit";"Zergling";"Larva";521
"Unit";"Ultralisk";"Larva";522
"Unit";"Ultralisk";"Larva";528
"Unit";"Ultralisk";"Larva";534
"Unit";"Ultralisk";"Larva";540
"Unit";"Queen";"Hatchery";546
"Building";"CreepTumor";NA;548
"Unit";"Overlord";"Larva";548
"Unit";"Zergling";"Larva";548
"Unit";"Zergling";"Larva";549
"Unit";"Zergling";"Larva";550
"Unit";"Zergling";"Larva";551
"Unit";"Zergling";"Larva";552
"Unit";"Zergling";"Larva";553
"Unit";"Zergling";"Larva";554
"Unit";"Zergling";"Larva";555
"Unit";"Zergling";"Larva";556
"Unit";"Zergling";"Larva";557
"Unit";"Zergling";"Larva";558
"Unit";"Zergling";"Larva";559
"Unit";"Zergling";"Larva";560
"Unit";"Zergling";"Larva";561
"Unit";"Zergling";"Larva";562
"Unit";"Zergling";"Larva";563
"Unit";"Zergling";"Larva";564
"Unit";"Zergling";"Larva";565
"Unit";"Zergling";"Larva";566
"Unit";"Zergling";"Larva";567
"Unit";"Zergling";"Larva";568
"Unit";"Zergling";"Larva";569
"Unit";"Zergling";"Larva";570
"Unit";"Zergling";"Larva";571
"Unit";"Zergling";"Larva";572
"Unit";"Zergling";"Larva";573
"Unit";"Ultralisk";"Larva";574
"Unit";"Ultralisk";"Larva";580
"Unit";"Ultralisk";"Larva";586
"Unit";"Zergling";"Larva";592
"Unit";"Zergling";"Larva";593
"Unit";"Zergling";"Larva";594
"Unit";"Zergling";"Larva";595
"Unit";"Zergling";"Larva";596
"Unit";"Zergling";"Larva";597
"Unit";"Zergling";"Larva";598
"Unit";"Zergling";"Larva";599
"Unit";"Zergling";"Larva";600
"Unit";"Zergling";"Larva";601
"Unit";"Zergling";"Larva";602
"Unit";"Zergling";"Larva";603
"Unit";"Zergling";"Larva";604
"Unit";"Zergling";"Larva";605
"Unit";"Zergling";"Larva";606
"Unit";"Zergling";"Larva";607
"Unit";"Zergling";"Larva";608
"Unit";"Zergling";"Larva";609
"Building";"CreepTumor";NA;610
"Building";"CreepTumor";NA;610
"Building";"CreepTumor";NA;610
"Building";"CreepTumor";NA;610
"Building";"CreepTumor";NA;610
"Upgrade";"SprayZerg";NA;610
"Upgrade";"SprayZerg";NA;610
"Upgrade";"SprayZerg";NA;610
"Upgrade";"zerglingmovementspeed";NA;610
"Upgrade";"SprayZerg";NA;610
"Upgrade";"SprayZerg";NA;610
"Upgrade";"ZergGroundArmorsLevel1";NA;610
"Upgrade";"overlordspeed";NA;610
"Upgrade";"SprayZerg";NA;610
"Upgrade";"ZergMissileWeaponsLevel1";NA;610
"Upgrade";"CentrificalHooks";NA;610
"Upgrade";"ZergGroundArmorsLevel2";NA;610
"Upgrade";"ZergMissileWeaponsLevel2";NA;610
"Upgrade";"EvolveMuscularAugments";NA;610
"Upgrade";"SprayZerg";NA;610
"Upgrade";"SprayZerg";NA;610
"Upgrade";"ZergMeleeWeaponsLevel1";NA;610
"Upgrade";"zerglingattackspeed";NA;610
"Upgrade";"ZergGroundArmorsLevel3";NA;610
"Upgrade";"ZergMeleeWeaponsLevel2";NA;610
